
 order 操作时间：2017-07-13 07:41:34 操作人：6 操作人名称:夏伟成 订单ID：449268 当前开关：0
 order 操作时间：2017-07-13 12:17:23 操作人：107 操作人名称:台州导医 订单ID：430944 当前开关：1

 order 操作时间：2017-07-13 13:53:48 操作人：107 操作人名称:台州导医 订单ID：447611 当前开关：1

 order 操作时间：2017-07-13 13:54:38 操作人：107 操作人名称:台州导医 订单ID：449869 当前开关：1

 order 操作时间：2017-07-13 14:14:10 操作人：107 操作人名称:台州导医 订单ID：449835 当前开关：1

 order 操作时间：2017-07-13 14:47:10 操作人：107 操作人名称:台州导医 订单ID：449593 当前开关：1

 order 操作时间：2017-07-13 15:06:44 操作人：107 操作人名称:台州导医 订单ID：449925 当前开关：1

 order 操作时间：2017-07-13 15:28:17 操作人：107 操作人名称:台州导医 订单ID：449993 当前开关：1

 order 操作时间：2017-07-13 15:36:51 操作人：134 操作人名称:仁爱导医22 订单ID：445418 当前开关：0

 order 操作时间：2017-07-13 15:36:51 操作人：134 操作人名称:仁爱导医22 订单ID：445418 当前开关：1

 order 操作时间：2017-07-13 15:37:01 操作人：107 操作人名称:台州导医 订单ID：449768 当前开关：1

 order 操作时间：2017-07-13 15:44:33 操作人：107 操作人名称:台州导医 订单ID：450026 当前开关：1

 order 操作时间：2017-07-13 16:07:52 操作人：107 操作人名称:台州导医 订单ID：450014 当前开关：1

 order 操作时间：2017-07-13 16:18:48 操作人：107 操作人名称:台州导医 订单ID：450022 当前开关：1

 order 操作时间：2017-07-13 17:12:47 操作人：107 操作人名称:台州导医 订单ID：450021 当前开关：1

 order 操作时间：2017-07-13 17:24:43 操作人：91 操作人名称:东方导医 订单ID：313358 当前开关：1

 order 操作时间：2017-07-13 17:24:43 操作人：91 操作人名称:东方导医 订单ID：313358 当前开关：0

 order 操作时间：2017-07-13 17:24:45 操作人：91 操作人名称:东方导医 订单ID：313358 当前开关：1

 order 操作时间：2017-07-13 17:25:02 操作人：91 操作人名称:东方导医 订单ID：313358 当前开关：0

 order 操作时间：2017-07-13 19:02:27 操作人：107 操作人名称:台州导医 订单ID：449901 当前开关：1
